Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
22. Jul;Nordsjaelland;AGF Aarhus;1;1;Draw;+;-;-;2;+;-;-;0;0;L;1
23. Jul;Aalborg BK;FC Kobenhavn;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
26. Jul;AGF Aarhus;Brondby IF;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
26. Jul;FC Kobenhavn;Nordsjaelland;2;1;Home win;+;+;-;3;+;-;-;1;1;L;1
26. Jul;FC Midtjylland;Aalborg BK;1;2;Away win;+;+;-;3;+;-;-;0;2;V;1
16. Feb;Cremonese;Trapani;5;0;Home win;+;+;+;5;-;+;-;2;0;L;1
16. Feb;Empoli;Pisa;2;1;Home win;+;+;-;3;+;-;-;0;1;V;1
16. Feb;Frosinone;Perugia;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
17. Feb;Chievo;Salernitana;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
21. Feb;Cosenza;Frosinone;0;2;Away win;+;-;-;2;-;-;+;0;2;V;1
22. Feb;Cittadella;Juve Stabia;3;0;Home win;+;+;-;3;-;+;-;1;0;L;1
22. Feb;Pisa;Venezia;1;2;Away win;+;+;-;3;+;-;-;1;1;L;1
22. Feb;Trapani;Spezia;1;1;Draw;+;-;-;2;+;-;-;1;1;L;1
22. Feb;Virtus Entella;Benevento;0;4;Away win;+;+;+;4;-;-;+;0;3;V;1
23. Feb;Crotone;Pescara;4;1;Home win;+;+;+;5;+;-;-;3;0;L;1
23. Feb;Pordenone;Chievo;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
23. Feb;Salernitana;Livorno;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
24. Feb;Perugia;Empoli;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
28. Feb;Virtus Entella;Crotone;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
29. Feb;Benevento;Spezia;3;1;Home win;+;+;+;4;+;-;-;0;1;V;1
29. Feb;Chievo;Livorno;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
29. Feb;Cittadella;Cremonese;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
29. Feb;Empoli;Pordenone;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
29. Feb;Frosinone;Salernitana;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
29. Feb;Juve Stabia;Trapani;2;2;Draw;+;+;+;4;+;-;-;0;1;V;1
