Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
14 Dec;Hallescher FC;Wurzburger K.;2;5;Away win;+;+;+;7;+;-;-;1;3;V;0
14 Dec;Hansa Rostock;Chemnitzer;1;2;Away win;+;+;-;3;+;-;-;1;1;L;0
14 Dec;Viktoria Koln;KFC Uerdingen;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
14 Dec;Zwickau;Mannheim;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
15 Dec;Sonnenhof;Carl Zeiss Jena;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
15 Dec;Unterhaching;MSV Duisburg;2;2;Draw;+;+;+;4;+;-;-;2;2;V;0
16 Dec;FC Ingolstadt;1860 Munchen;2;2;Draw;+;+;+;4;+;-;-;1;2;L;0
20 Dec;Viktoria Koln;Hansa Rostock;1;5;Away win;+;+;+;6;+;-;-;0;3;V;0
21 Dec;Braunschweig;Magdeburg;2;2;Draw;+;+;+;4;+;-;-;0;0;L;0
21 Dec;Mannheim;Chemnitzer;4;3;Home win;+;+;+;7;+;-;-;2;3;L;0
21 Dec;Pr. Munster;1860 Munchen;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
21 Dec;Sonnenhof;MSV Duisburg;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
21 Dec;Unterhaching;Kaiserslautern;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
21 Dec;Zwickau;Meppen;2;2;Draw;+;+;+;4;+;-;-;2;0;L;0
22 Dec;Bayern Munich B;Wurzburger K.;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
22 Dec;FC Ingolstadt;Carl Zeiss Jena;5;1;Home win;+;+;+;6;+;-;-;2;0;L;0
22 Dec;Hallescher FC;KFC Uerdingen;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
24. Jan;Hansa Rostock;Hallescher FC;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
25. Jan;Carl Zeiss Jena;Pr. Munster;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
25. Jan;Chemnitzer;Viktoria Koln;2;2;Draw;+;+;+;4;+;-;-;2;2;L;0
25. Jan;Magdeburg;Zwickau;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
25. Jan;Meppen;Mannheim;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
25. Jan;MSV Duisburg;FC Ingolstadt;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
25. Jan;Wurzburger K.;Unterhaching;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
26. Jan;1860 Munchen;Braunschweig;4;1;Home win;+;+;+;5;+;-;-;2;1;L;0
26. Jan;KFC Uerdingen;Bayern Munich B;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
27. Jan;Kaiserslautern;Sonnenhof;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
31. Jan;Hallescher FC;Viktoria Koln;3;4;Away win;+;+;+;7;+;-;-;0;1;V;0
01. Feb;Bayern Munich B;Hansa Rostock;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
01. Feb;Braunschweig;Carl Zeiss Jena;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
01. Feb;FC Ingolstadt;Kaiserslautern;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
01. Feb;Meppen;Chemnitzer;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
01. Feb;Pr. Munster;MSV Duisburg;1;4;Away win;+;+;+;5;+;-;-;1;2;V;0
01. Feb;Unterhaching;KFC Uerdingen;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
02. Feb;Mannheim;Magdeburg;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
02. Feb;Zwickau;1860 Munchen;2;2;Draw;+;+;+;4;+;-;-;1;1;V;0
03. Feb;Sonnenhof;Wurzburger K.;0;6;Away win;+;+;+;6;-;-;+;0;2;V;0
07. Feb;MSV Duisburg;Braunschweig;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
08. Feb;1860 Munchen;Mannheim;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
08. Feb;Hansa Rostock;Unterhaching;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
08. Feb;Kaiserslautern;Pr. Munster;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
08. Feb;KFC Uerdingen;Sonnenhof;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
08. Feb;Magdeburg;Meppen;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
08. Feb;Viktoria Koln;Bayern Munich B;2;4;Away win;+;+;+;6;+;-;-;0;1;V;0
