Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
30. Aug;FC Sevilla;Celta Vigo;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
31. Aug;Getafe;Alaves;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
31. Aug;Levante;Valladolid;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
31. Aug;Osasuna;FC Barcelona;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
31. Aug;Real Betis;Leganes;2;1;Home win;+;+;-;3;+;-;-;0;0;V;0
01. Sep;Atletico Madrid;Eibar;3;2;Home win;+;+;+;5;+;-;-;1;2;V;0
01. Sep;Espanyol;Granada;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
01. Sep;Valencia;Mallorca;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
01. Sep;Villarreal;Real Madrid;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
13. Sep;Mallorca;Athletic Bilbao;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
14. Sep;FC Barcelona;Valencia;5;2;Home win;+;+;+;7;+;-;-;2;1;L;0
14. Sep;Leganes;Villarreal;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
14. Sep;Real Madrid;Levante;3;2;Home win;+;+;+;5;+;-;-;3;0;L;0
14. Sep;Real Sociedad;Atletico Madrid;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
15. Sep;Alaves;FC Sevilla;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
15. Sep;Celta Vigo;Granada;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
15. Sep;Eibar;Espanyol;1;2;Away win;+;+;-;3;+;-;-;0;0;L;0
15. Sep;Real Betis;Getafe;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
15. Sep;Valladolid;Osasuna;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
20. Sep;Osasuna;Real Betis;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
21. Sep;Atletico Madrid;Celta Vigo;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
21. Sep;Granada;FC Barcelona;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
21. Sep;Levante;Eibar;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
21. Sep;Villarreal;Valladolid;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
22. Sep;Athletic Bilbao;Alaves;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
22. Sep;Espanyol;Real Sociedad;1;3;Away win;+;+;+;4;+;-;-;0;2;V;0
22. Sep;FC Sevilla;Real Madrid;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
22. Sep;Getafe;Mallorca;4;2;Home win;+;+;+;6;+;-;-;2;0;L;0
22. Sep;Valencia;Leganes;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
24. Sep;FC Barcelona;Villarreal;2;1;Home win;+;+;-;3;+;-;-;2;1;L;0
24. Sep;Real Betis;Levante;3;1;Home win;+;+;+;4;+;-;-;1;1;V;0
24. Sep;Valladolid;Granada;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
25. Sep;Leganes;Athletic Bilbao;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
25. Sep;Mallorca;Atletico Madrid;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
25. Sep;Real Madrid;Osasuna;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
25. Sep;Valencia;Getafe;3;3;Draw;+;+;+;6;+;-;-;3;1;V;0
26. Sep;Celta Vigo;Espanyol;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
26. Sep;Eibar;FC Sevilla;3;2;Home win;+;+;+;5;+;-;-;0;2;V;0
26. Sep;Real Sociedad;Alaves;3;0;Home win;+;+;-;3;-;+;-;3;0;L;0
27. Sep;Villarreal;Real Betis;5;1;Home win;+;+;+;6;+;-;-;1;0;L;0
28. Sep;Athletic Bilbao;Valencia;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
28. Sep;Atletico Madrid;Real Madrid;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
28. Sep;Getafe;FC Barcelona;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
28. Sep;Granada;Leganes;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
29. Sep;Alaves;Mallorca;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
29. Sep;Eibar;Celta Vigo;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
29. Sep;Espanyol;Valladolid;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
29. Sep;FC Sevilla;Real Sociedad;3;2;Home win;+;+;+;5;+;-;-;1;1;V;0
29. Sep;Levante;Osasuna;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
4 Oct;Real Betis;Eibar;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
5 Oct;Leganes;Levante;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
5 Oct;Osasuna;Villarreal;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
5 Oct;Real Madrid;Granada;4;2;Home win;+;+;+;6;+;-;-;2;0;L;0
5 Oct;Valencia;Alaves;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
6 Oct;Celta Vigo;Athletic Bilbao;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
6 Oct;FC Barcelona;FC Sevilla;4;0;Home win;+;+;+;4;-;+;-;3;0;L;0
6 Oct;Mallorca;Espanyol;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
6 Oct;Real Sociedad;Getafe;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
6 Oct;Valladolid;Atletico Madrid;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
18 Oct;Granada;Osasuna;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
19 Oct;Atletico Madrid;Valencia;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
19 Oct;Eibar;FC Barcelona;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
19 Oct;Getafe;Leganes;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
19 Oct;Mallorca;Real Madrid;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
20 Oct;Alaves;Celta Vigo;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
20 Oct;Athletic Bilbao;Valladolid;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
20 Oct;Espanyol;Villarreal;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
20 Oct;FC Sevilla;Levante;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
20 Oct;Real Sociedad;Real Betis;3;1;Home win;+;+;+;4;+;-;-;2;1;V;0
25 Oct;Villarreal;Alaves;4;1;Home win;+;+;+;5;+;-;-;1;0;L;0
26 Oct;Atletico Madrid;Athletic Bilbao;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
26 Oct;Leganes;Mallorca;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
26 Oct;Valladolid;Eibar;2;0;Home win;+;-;-;2;-;+;-;2;0;L;0
27 Oct;Celta Vigo;Real Sociedad;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
27 Oct;FC Sevilla;Getafe;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
27 Oct;Granada;Real Betis;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
27 Oct;Levante;Espanyol;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
27 Oct;Osasuna;Valencia;3;1;Home win;+;+;+;4;+;-;-;1;1;V;0
29 Oct;Alaves;Atletico Madrid;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
29 Oct;FC Barcelona;Valladolid;5;1;Home win;+;+;+;6;+;-;-;3;1;L;0
30 Oct;Athletic Bilbao;Espanyol;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
30 Oct;Real Betis;Celta Vigo;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
30 Oct;Real Madrid;Leganes;5;0;Home win;+;+;+;5;-;+;-;3;0;L;0
30 Oct;Real Sociedad;Levante;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
30 Oct;Valencia;FC Sevilla;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
31 Oct;Eibar;Villarreal;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
31 Oct;Getafe;Granada;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
31 Oct;Mallorca;Osasuna;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
02. Nov;Espanyol;Valencia;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
02. Nov;FC Sevilla;Atletico Madrid;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
02. Nov;Levante;FC Barcelona;3;1;Home win;+;+;+;4;+;-;-;0;1;V;0
02. Nov;Real Madrid;Real Betis;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
03. Nov;Celta Vigo;Getafe;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
03. Nov;Granada;Real Sociedad;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
03. Nov;Leganes;Eibar;1;2;Away win;+;+;-;3;+;-;-;1;1;L;0
03. Nov;Osasuna;Alaves;4;2;Home win;+;+;+;6;+;-;-;3;1;L;0
03. Nov;Valladolid;Mallorca;3;0;Home win;+;+;-;3;-;+;-;1;0;L;0
03. Nov;Villarreal;Athletic Bilbao;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
08. Nov;Real Sociedad;Leganes;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
09. Nov;Alaves;Valladolid;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
09. Nov;Eibar;Real Madrid;0;4;Away win;+;+;+;4;-;-;+;0;3;V;0
09. Nov;FC Barcelona;Celta Vigo;4;1;Home win;+;+;+;5;+;-;-;2;1;L;0
09. Nov;Valencia;Granada;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
10. Nov;Athletic Bilbao;Levante;2;1;Home win;+;+;-;3;+;-;-;0;1;V;0
10. Nov;Atletico Madrid;Espanyol;3;1;Home win;+;+;+;4;+;-;-;1;1;V;0
10. Nov;Getafe;Osasuna;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
10. Nov;Mallorca;Villarreal;3;1;Home win;+;+;+;4;+;-;-;2;0;L;0
10. Nov;Real Betis;FC Sevilla;1;2;Away win;+;+;-;3;+;-;-;1;1;V;0
22. Nov;Levante;Mallorca;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
23. Nov;Granada;Atletico Madrid;1;1;Draw;+;-;-;2;+;-;-;0;0;V;0
23. Nov;Leganes;FC Barcelona;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
23. Nov;Real Betis;Valencia;2;1;Home win;+;+;-;3;+;-;-;1;1;V;0
23. Nov;Real Madrid;Real Sociedad;3;1;Home win;+;+;+;4;+;-;-;1;1;V;0
24. Nov;Eibar;Alaves;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
24. Nov;Espanyol;Getafe;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
24. Nov;Osasuna;Athletic Bilbao;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
24. Nov;Valladolid;FC Sevilla;0;1;Away win;-;-;-;1;-;-;+;0;1;V;0
24. Nov;Villarreal;Celta Vigo;1;3;Away win;+;+;+;4;+;-;-;0;0;V;0
29. Nov;Celta Vigo;Valladolid;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
30. Nov;Alaves;Real Madrid;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
30. Nov;Mallorca;Real Betis;1;2;Away win;+;+;-;3;+;-;-;0;2;V;0
30. Nov;Real Sociedad;Eibar;4;1;Home win;+;+;+;5;+;-;-;1;1;L;0
30. Nov;Valencia;Villarreal;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
1 Dec;Athletic Bilbao;Granada;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
1 Dec;Atletico Madrid;FC Barcelona;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
1 Dec;Espanyol;Osasuna;2;4;Away win;+;+;+;6;+;-;-;1;0;L;0
1 Dec;FC Sevilla;Leganes;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
1 Dec;Getafe;Levante;4;0;Home win;+;+;+;4;-;+;-;0;0;L;0
6 Dec;Villarreal;Atletico Madrid;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
7 Dec;FC Barcelona;Mallorca;5;2;Home win;+;+;+;7;+;-;-;4;1;L;0
7 Dec;Granada;Alaves;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
7 Dec;Levante;Valencia;2;4;Away win;+;+;+;6;+;-;-;2;1;L;0
7 Dec;Real Madrid;Espanyol;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
8 Dec;Eibar;Getafe;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
8 Dec;Leganes;Celta Vigo;3;2;Home win;+;+;+;5;+;-;-;2;0;L;0
8 Dec;Osasuna;FC Sevilla;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
8 Dec;Real Betis;Athletic Bilbao;3;2;Home win;+;+;+;5;+;-;-;3;1;L;0
8 Dec;Valladolid;Real Sociedad;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
13 Dec;Alaves;Leganes;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
14 Dec;Athletic Bilbao;Eibar;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
14 Dec;Atletico Madrid;Osasuna;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
14 Dec;Granada;Levante;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
14 Dec;Real Sociedad;FC Barcelona;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
15 Dec;Celta Vigo;Mallorca;2;2;Draw;+;+;+;4;+;-;-;1;1;L;0
15 Dec;Espanyol;Real Betis;2;2;Draw;+;+;+;4;+;-;-;2;1;V;0
15 Dec;FC Sevilla;Villarreal;1;2;Away win;+;+;-;3;+;-;-;0;1;V;0
15 Dec;Getafe;Valladolid;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
15 Dec;Valencia;Real Madrid;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
18 Dec;FC Barcelona;Real Madrid;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
20 Dec;Eibar;Granada;3;0;Home win;+;+;-;3;-;+;-;2;0;L;0
21 Dec;FC Barcelona;Alaves;4;1;Home win;+;+;+;5;+;-;-;2;0;L;0
21 Dec;Mallorca;FC Sevilla;0;2;Away win;+;-;-;2;-;-;+;0;1;V;0
21 Dec;Valladolid;Valencia;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
21 Dec;Villarreal;Getafe;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
22 Dec;Leganes;Espanyol;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
22 Dec;Levante;Celta Vigo;3;1;Home win;+;+;+;4;+;-;-;0;1;V;0
22 Dec;Osasuna;Real Sociedad;3;4;Away win;+;+;+;7;+;-;-;1;3;V;0
22 Dec;Real Betis;Atletico Madrid;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
22 Dec;Real Madrid;Athletic Bilbao;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
03. Jan;FC Sevilla;Athletic Bilbao;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
03. Jan;Valladolid;Leganes;2;2;Draw;+;+;+;4;+;-;-;1;2;V;0
04. Jan;Atletico Madrid;Levante;2;1;Home win;+;+;-;3;+;-;-;2;1;L;0
04. Jan;Espanyol;FC Barcelona;2;2;Draw;+;+;+;4;+;-;-;1;0;L;0
04. Jan;Getafe;Real Madrid;0;3;Away win;+;+;-;3;-;-;+;0;1;V;0
04. Jan;Valencia;Eibar;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
05. Jan;Alaves;Real Betis;1;1;Draw;+;-;-;2;+;-;-;1;0;L;0
05. Jan;Celta Vigo;Osasuna;1;1;Draw;+;-;-;2;+;-;-;0;0;L;0
05. Jan;Granada;Mallorca;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
05. Jan;Real Sociedad;Villarreal;1;2;Away win;+;+;-;3;+;-;-;1;0;L;0
