Team;AT;HT;Score;Date Range;Home Away;League;Season;Date;Table Name;0. Games;1. GS;1a WDL;1b WDL;1c Goals;1d Goals;2. GA;2a xG;2b xG;3. Pts;3a xG Against;3b xG Against;4. xG;4a Net xG;4b Net xG;5. xGA;5a Points;5b Points;6. Net xG;7. xG Pts;D;GAvsXg+ve;GAvsXg-ve;GD;GSvsXg+ve;GSvsXg-ve;L;Lower xG;Pts vs xG;Pts vs xG +ve;Pts vs xG -ve;RankCalc;Upper xG;W;x. +ve GD;x. -ve GD;x. GD vs NetXg+ve;x. GD vs NetXg-ve;ZN([D]);ZN([L]);ZN([W])
Santa Clara;Maritimo;Santa Clara;0-1;Wahr;Home;Portuguese Liga;2019/20;03.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.5;1;1;1.5;1;1;-1.0;0;;+0.5;;-1;+0.5;;1;-0.23;0;+0;;-0.001;0.36;;;-1;+0.0;;0;1;0
Santa Clara;Rio Ave;Santa Clara;0-1;Wahr;Home;Portuguese Liga;2019/20;10.01.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;0.8;1;1;0.1;1;;;-0.3;-1;+0.8;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.1;;0;1;0
Sp Braga;Boavista;Sp Braga;0-1;Wahr;Home;Portuguese Liga;2019/20;13.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.8;1;1;1.0;1;1;-0.2;1;;+0.0;;-1;+0.8;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+0.8;;0;1;0
Sp Braga;Pacos Ferreira;Sp Braga;0-1;Wahr;Home;Portuguese Liga;2019/20;15.12.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;2.6;1;1;0.6;1;1;2.0;3;;;-0.4;-1;+2.6;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+3.0;;0;1;0
Tondela;Belenenses;Tondela;0-1;Wahr;Home;Portuguese Liga;2019/20;01.12.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.4;1;1;1.2;1;1;0.2;1;;+0.2;;-1;+1.4;;1;-0.23;1;+1;;-0.001;0.36;;;-1;+1.2;;0;1;0
Tondela;Benfica;Tondela;0-1;Wahr;Home;Portuguese Liga;2019/20;27.10.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.9;1;1;0.4;1;1;0.5;3;;;-0.6;-1;+0.9;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+1.5;;0;1;0
Tondela;Famalicao;Tondela;0-1;Wahr;Home;Portuguese Liga;2019/20;05.07.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;1.6;1;1;0.5;1;1;1.1;3;;;-0.5;-1;+1.6;;1;-0.23;3;+3;;-0.001;0.36;;;-1;+2.1;;0;1;0
Aston Villa;Wolves;Aston Villa;0-1;Wahr;Home;English Premier League;2019/20;27.06.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.5;1;1;0.6;1;1;-0.1;1;;;-0.4;-1;+0.5;;1;-0.36;1;+1;;-0.001;0.42;;;-1;+0.9;;0;1;0
Bournemouth;Burnley;Bournemouth;0-1;Wahr;Home;English Premier League;2019/20;21.12.2019;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;0.2;1;1;0.2;1;1;-0.1;1;;;-0.8;-1;+0.2;;1;-0.36;1;+1;;-0.001;0.42;;;-1;+0.9;;0;1;0
Brighton;Crystal Palace;Brighton;0-1;Wahr;Home;English Premier League;2019/20;29.02.2020;HT League Table.csv;1;0;1;1;1;1;1;1;1;0;1;1;2.1;1;1;2.4;1;1;-0.4;1;;+1.4;;-1;+2.1;;1;-0.36;1;+1;;-0.001;0.42;;;-1;+0.7;;0;1;0
