Dateÿ?;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
13. Jul;Kasimpasa;Rizespor;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
13. Jul;Kayserispor;Gaziantep FK;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
13. Jul;Konyaspor;Basaksehir;4;3;Home win;+;+;+;7;+;-;-;3;1;V;1
13. Jul;Yeni Malatyaspo;Besiktas;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
18. Jul;Galatasaray;Goztepe;3;1;Home win;+;+;+;4;+;-;-;0;0;L;1
18. Jul;Gaziantep FK;Kasimpasa;2;2;Draw;+;+;+;4;+;-;-;1;2;L;1
19. Jul;Alanyaspor;Denizlispor;1;0;Home win;-;-;-;1;-;+;-;0;0;L;1
19. Jul;Ankaragucu;Antalyaspor;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
19. Jul;Basaksehir;Kayserispor;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
19. Jul;Besiktas;Fenerbahce;2;0;Home win;+;-;-;2;-;+;-;0;0;L;1
19. Jul;Rizespor;Yeni Malatyaspo;3;0;Home win;+;+;-;3;-;+;-;3;0;L;1
19. Jul;Sivasspor;Genclerbirligi;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
19. Jul;Trabzonspor;Konyaspor;3;4;Away win;+;+;+;7;+;-;-;1;1;L;1
24. Jul;Antalyaspor;Galatasaray;2;2;Draw;+;+;+;4;+;-;-;1;0;L;1
25. Jul;Denizlispor;Ankaragucu;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
25. Jul;Fenerbahce;Rizespor;3;1;Home win;+;+;+;4;+;-;-;1;0;L;1
25. Jul;Genclerbirligi;Besiktas;0;3;Away win;+;+;-;3;-;-;+;0;0;V;1
25. Jul;Goztepe;Sivasspor;3;1;Home win;+;+;+;4;+;-;-;1;0;L;1
25. Jul;Kayserispor;Trabzonspor;1;2;Away win;+;+;-;3;+;-;-;0;0;V;1
25. Jul;Konyaspor;Alanyaspor;2;3;Away win;+;+;+;5;+;-;-;2;0;L;1
25. Jul;Yeni Malatyaspo;Gaziantep FK;0;1;Away win;-;-;-;1;-;-;+;0;0;V;1
26. Jul;Kasimpasa;Basaksehir;3;2;Home win;+;+;+;5;+;-;-;2;0;L;1
