Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
30. Nov;Sigma Olomouc;Slovan Liberec;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
30. Nov;Zlin;Slovacko;2;1;Home win;+;+;-;3;+;-;-;1;0;L;0
1 Dec;Jablonec;Ceske Budejov.;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
1 Dec;Mlada Boleslav;Teplice;3;1;Home win;+;+;+;4;+;-;-;0;0;V;0
1 Dec;Slavia Prague;Karvina;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
1 Dec;Viktoria Plzen;Bohemians;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
6 Dec;Bohemians;Banik Ostrava;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
6 Dec;Slovan Liberec;Slavia Prague;0;3;Away win;+;+;-;3;-;-;+;0;2;V;0
7 Dec;Opava;Jablonec;1;2;Away win;+;+;-;3;+;-;-;0;0;V;0
7 Dec;Slovacko;Viktoria Plzen;2;1;Home win;+;+;-;3;+;-;-;1;1;L;0
7 Dec;Teplice;Zlin;2;1;Home win;+;+;-;3;+;-;-;0;0;L;0
8 Dec;Ceske Budejov.;Pribram;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
8 Dec;Karvina;Sigma Olomouc;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
8 Dec;Sparta Prague;Mlada Boleslav;5;2;Home win;+;+;+;7;+;-;-;2;1;L;0
13 Dec;Mlada Boleslav;Jablonec;2;3;Away win;+;+;+;5;+;-;-;1;3;V;0
14 Dec;Banik Ostrava;Sparta Prague;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
14 Dec;Pribram;Slovacko;1;4;Away win;+;+;+;5;+;-;-;0;3;V;0
14 Dec;Sigma Olomouc;Bohemians;1;1;Draw;+;-;-;2;+;-;-;0;1;V;0
14 Dec;Slovan Liberec;Karvina;3;0;Home win;+;+;-;3;-;+;-;0;0;L;0
14 Dec;Zlin;Opava;2;0;Home win;+;-;-;2;-;+;-;0;0;L;0
15 Dec;Slavia Prague;Ceske Budejov.;4;1;Home win;+;+;+;5;+;-;-;3;0;L;0
15 Dec;Viktoria Plzen;Teplice;1;1;Draw;+;-;-;2;+;-;-;1;1;L;0
14. Feb;Ceske Budejov.;Mlada Boleslav;3;0;Home win;+;+;-;3;-;+;-;3;0;L;0
15. Feb;Karvina;Zlin;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
15. Feb;Slovacko;Banik Ostrava;0;1;Away win;-;-;-;1;-;-;+;0;0;V;0
15. Feb;Sparta Prague;Slovan Liberec;0;2;Away win;+;-;-;2;-;-;+;0;0;V;0
15. Feb;Teplice;Sigma Olomouc;1;3;Away win;+;+;+;4;+;-;-;0;3;V;0
16. Feb;Bohemians;Slavia Prague;1;0;Home win;-;-;-;1;-;+;-;0;0;L;0
16. Feb;Opava;Viktoria Plzen;0;3;Away win;+;+;-;3;-;-;+;0;0;V;0
17. Feb;Jablonec;Pribram;4;0;Home win;+;+;+;4;-;+;-;1;0;L;0
22. Feb;Mlada Boleslav;Slovacko;0;0;Draw;-;-;-;0;-;+;+;0;0;-;0
22. Feb;Slavia Prague;Opava;2;0;Home win;+;-;-;2;-;+;-;1;0;L;0
22. Feb;Slovan Liberec;Bohemians;3;1;Home win;+;+;+;4;+;-;-;2;1;L;0
22. Feb;Viktoria Plzen;Pribram;4;0;Home win;+;+;+;4;-;+;-;2;0;L;0
23. Feb;Karvina;Teplice;3;0;Home win;+;+;-;3;-;+;-;3;0;L;0
23. Feb;Sigma Olomouc;Sparta Prague;1;0;Home win;-;-;-;1;-;+;-;1;0;L;0
23. Feb;Zlin;Ceske Budejov.;2;3;Away win;+;+;+;5;+;-;-;0;2;V;0
24. Feb;Banik Ostrava;Jablonec;1;1;Draw;+;-;-;2;+;-;-;1;1;V;0
