Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;sample
15 Dec;Panaitolikos;PAOK Saloniki;0;3;Away win;+;+;-;3;-;-;+;0
15 Dec;Volos NFC;Panionios;2;1;Home win;+;+;-;3;+;-;-;0
18 Dec;AEK Athens;Ast. Tripolis;2;1;Home win;+;+;-;3;+;-;-;0
18 Dec;Atromitos;Lamia;1;1;Draw;+;-;-;2;+;-;-;0
18 Dec;OFI Crete;Panathinaikos;1;1;Draw;+;-;-;2;+;-;-;0
18 Dec;Olympiakos;AEL Larissa;4;1;Home win;+;+;+;5;+;-;-;0
18 Dec;Xanthi;Panaitolikos;0;0;Draw;-;-;-;0;-;+;+;0
19 Dec;Aris Thessalon.;Volos NFC;4;0;Home win;+;+;+;4;-;+;-;0
19 Dec;Panionios;PAOK Saloniki;0;2;Away win;+;-;-;2;-;-;+;0
21 Dec;Ast. Tripolis;Xanthi;5;0;Home win;+;+;+;5;-;+;-;0
21 Dec;Lamia;AEK Athens;0;0;Draw;-;-;-;0;-;+;+;0
22 Dec;AEL Larissa;Panionios;2;0;Home win;+;-;-;2;-;+;-;0
22 Dec;Panaitolikos;OFI Crete;2;0;Home win;+;-;-;2;-;+;-;0
22 Dec;Panathinaikos;Aris Thessalon.;0;0;Draw;-;-;-;0;-;+;+;0
22 Dec;Volos NFC;Olympiakos;0;0;Draw;-;-;-;0;-;+;+;0
23 Dec;PAOK Saloniki;Atromitos;5;1;Home win;+;+;+;6;+;-;-;0
04. Jan;Aris Thessalon.;PAOK Saloniki;4;2;Home win;+;+;+;6;+;-;-;0
04. Jan;Atromitos;Ast. Tripolis;2;1;Home win;+;+;-;3;+;-;-;0
04. Jan;OFI Crete;Volos NFC;1;2;Away win;+;+;-;3;+;-;-;0
05. Jan;AEK Athens;Panaitolikos;3;1;Home win;+;+;+;4;+;-;-;0
05. Jan;Olympiakos;Panathinaikos;1;0;Home win;-;-;-;1;-;+;-;0
05. Jan;Panionios;Lamia;0;1;Away win;-;-;-;1;-;-;+;0
